Comment,Designator,Footprint,JLCPCB Part #
TestPoint,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13",TestPoint_Pad_D1.5mm,
100nF,"C4,C8,C19",C_0402_1005Metric,C1525
0Ω,"R10,R11",R_0402_1005Metric,C17168
4.7µF,C10,C_0603_1608Metric,C19666
AO3400A,Q1,SOT-23,C20917
4.7Ω,R7,R_0603_1608Metric,C23164
2.2µF,C3,C_0603_1608Metric,C23630
10kΩ,"R1,R12",R_0402_1005Metric,C25744
5.1kΩ,"R4,R5,R8,R9",R_0402_1005Metric,C25905
10pF,C7,C_0402_1005Metric,C32949
1µF,"C1,C2,C9,C11,C12,C13,C14,C15,C16,C17,C20,C21,C22,C23,C24,C25",C_0402_1005Metric,C52923
1N5819HW-7-F,"D3,D4,D5,D9",D_SOD-123,C82544
10µF,"C5,C18",C_0603_1608Metric,C96446
470mΩ,R6,R_0402_1005Metric,C158958
600mA 10uH ±20% SPH3010H100MT,L1,L_Sunlord_SWPA3010S,C279861
SW_Push,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
FH34SRJ-24S-0.5SH,J1,HRS_FH34SRJ-24S-0.5SH_99_,C324726
LESD5D5.0CT1G,"D6,D7,D8",D_SOD-523,C383211
ECT818001568,J2,FPC-SMD_ECT818001568,C711417
TLV76733DRVT,U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C2867572
SHT40-AD1B-R2,U5,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,C2909890
ESP32-S3-WROOM-1-N8,U2,ESP32-S3-WROOM-1,C2913198
TYPE-C 16PLC-H10.0,J4,TYPE-C-TH_16PLC-H10.0,C3151747
SGP41-D-R4,U3,XDCR_SGP41-D-R4,C3659325
SCD40-D-R2,U4,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,C3659421
